batch_id,trial_id,model_name,leader_freq_hz,follower_initial_freq_hz,duration_s,synchronization_success,time_to_synchronization_s,steady_state_mean_abs_timing_error_s,steady_state_rmse_timing_error_s,steady_state_jitter_s,final_frequency_error_hz,convergence_quality,leader_flash_count,follower_flash_count,expected_leader_flash_count,leader_flash_count_ratio,failure_label,pco_coupling_mode,trial_log_dir
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.5Hz_r01,pco_if,2.0,1.5,30.0,True,2.4999999999999907,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,59,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.5Hz_r01
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.5Hz_r02,pco_if,2.0,1.5,30.0,True,2.4999999999999907,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,59,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.5Hz_r02
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.5Hz_r03,pco_if,2.0,1.5,30.0,True,2.4999999999999907,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,59,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.5Hz_r03
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.5Hz_r04,pco_if,2.0,1.5,30.0,True,2.4999999999999907,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,59,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.5Hz_r04
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.5Hz_r05,pco_if,2.0,1.5,30.0,True,2.4999999999999907,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,59,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.5Hz_r05
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.8Hz_r01,pco_if,2.0,1.8,30.0,True,3.9999999999999587,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,60,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.8Hz_r01
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.8Hz_r02,pco_if,2.0,1.8,30.0,True,3.9999999999999587,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,60,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.8Hz_r02
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.8Hz_r03,pco_if,2.0,1.8,30.0,True,3.9999999999999587,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,60,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.8Hz_r03
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.8Hz_r04,pco_if,2.0,1.8,30.0,True,3.9999999999999587,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,60,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.8Hz_r04
20260615_190300_pco_if_synthetic_batch,L2.0Hz_F1.8Hz_r05,pco_if,2.0,1.8,30.0,True,3.9999999999999587,0.0,0.0,0.0,3.126388037344441e-13,1.0,60,60,60.0,1.0,success,additive_phase,experiments\logs\stage3b_synthetic_models\20260615_190300_pco_if_synthetic_batch\trials\L2.0Hz_F1.8Hz_r05
