t_s,event_type,source
0.0,leader_flash,synthetic_leader
0.5,leader_flash,synthetic_leader
0.54,follower_flash,model_follower
1.0,leader_flash,synthetic_leader
1.08,follower_flash,model_follower
1.5,leader_flash,synthetic_leader
1.6,follower_flash,model_follower
2.0,leader_flash,synthetic_leader
2.12,follower_flash,model_follower
2.5,leader_flash,synthetic_leader
2.63,follower_flash,model_follower
3.0,leader_flash,synthetic_leader
3.14,follower_flash,model_follower
3.5,leader_flash,synthetic_leader
3.64,follower_flash,model_follower
4.0,leader_flash,synthetic_leader
4.14,follower_flash,model_follower
4.5,leader_flash,synthetic_leader
4.63,follower_flash,model_follower
5.0,leader_flash,synthetic_leader
5.12,follower_flash,model_follower
5.5,leader_flash,synthetic_leader
5.61,follower_flash,model_follower
6.0,leader_flash,synthetic_leader
6.1,follower_flash,model_follower
6.5,leader_flash,synthetic_leader
6.59,follower_flash,model_follower
7.0,leader_flash,synthetic_leader
7.08,follower_flash,model_follower
7.5,leader_flash,synthetic_leader
7.57,follower_flash,model_follower
8.0,leader_flash,synthetic_leader
8.06,follower_flash,model_follower
8.5,leader_flash,synthetic_leader
8.55,follower_flash,model_follower
9.0,leader_flash,synthetic_leader
9.04,follower_flash,model_follower
9.5,leader_flash,synthetic_leader
9.54,follower_flash,model_follower
10.0,leader_flash,synthetic_leader
10.03,follower_flash,model_follower
10.5,leader_flash,synthetic_leader
10.52,follower_flash,model_follower
11.0,leader_flash,synthetic_leader
11.02,follower_flash,model_follower
11.5,leader_flash,synthetic_leader
11.51,follower_flash,model_follower
12.0,leader_flash,synthetic_leader
12.01,follower_flash,model_follower
12.5,leader_flash,synthetic_leader
12.51,follower_flash,model_follower
13.0,leader_flash,synthetic_leader
13.0,follower_flash,model_follower
13.5,leader_flash,synthetic_leader
13.5,follower_flash,model_follower
14.0,leader_flash,synthetic_leader
14.0,follower_flash,model_follower
14.5,leader_flash,synthetic_leader
14.5,follower_flash,model_follower
15.0,leader_flash,synthetic_leader
15.0,follower_flash,model_follower
15.5,leader_flash,synthetic_leader
15.5,follower_flash,model_follower
16.0,leader_flash,synthetic_leader
16.0,follower_flash,model_follower
16.5,leader_flash,synthetic_leader
16.5,follower_flash,model_follower
17.0,leader_flash,synthetic_leader
17.0,follower_flash,model_follower
17.5,leader_flash,synthetic_leader
17.5,follower_flash,model_follower
18.0,leader_flash,synthetic_leader
18.0,follower_flash,model_follower
18.5,leader_flash,synthetic_leader
18.5,follower_flash,model_follower
19.0,leader_flash,synthetic_leader
19.0,follower_flash,model_follower
19.5,leader_flash,synthetic_leader
19.5,follower_flash,model_follower
20.0,leader_flash,synthetic_leader
20.0,follower_flash,model_follower
20.5,leader_flash,synthetic_leader
20.5,follower_flash,model_follower
21.0,leader_flash,synthetic_leader
21.0,follower_flash,model_follower
21.5,leader_flash,synthetic_leader
21.5,follower_flash,model_follower
22.0,leader_flash,synthetic_leader
22.0,follower_flash,model_follower
22.5,leader_flash,synthetic_leader
22.5,follower_flash,model_follower
23.0,leader_flash,synthetic_leader
23.0,follower_flash,model_follower
23.5,leader_flash,synthetic_leader
23.5,follower_flash,model_follower
24.0,leader_flash,synthetic_leader
24.0,follower_flash,model_follower
24.5,leader_flash,synthetic_leader
24.5,follower_flash,model_follower
25.0,leader_flash,synthetic_leader
25.0,follower_flash,model_follower
25.5,leader_flash,synthetic_leader
25.51,follower_flash,model_follower
26.0,leader_flash,synthetic_leader
26.01,follower_flash,model_follower
26.5,leader_flash,synthetic_leader
26.51,follower_flash,model_follower
27.0,leader_flash,synthetic_leader
27.01,follower_flash,model_follower
27.5,leader_flash,synthetic_leader
27.51,follower_flash,model_follower
28.0,leader_flash,synthetic_leader
28.01,follower_flash,model_follower
28.5,leader_flash,synthetic_leader
28.51,follower_flash,model_follower
29.0,leader_flash,synthetic_leader
29.01,follower_flash,model_follower
29.5,leader_flash,synthetic_leader
29.51,follower_flash,model_follower
